review,rating
"""Great product, fun to use!!""",1
Excellent product !!,1
I absolutely love my Show!,1
Small convenient and dependable. This dot is a cutie and Alexa does the job you ask.My only issue is the fidelity which is to be expected in a such a small speaker,1
Get rid of the &#34;Thongs To Try&#34; screen!!!!!!!!!! Numb nuts!!!!!,0
I enjoy the various functions of the device,1
"Good, very good",1
This thing woke me up in the middle of the night saying ?ready for setup?. It was already setup. Should be a simple thing to check  time before asking. Wife not happy...,0
"""Purchased this for a discount on Prime Day to insert into a portable Bluetooth speaker made specifically to work with Echo Dot. Works great, love it! Now I can bring Alexa out onto the patio with me, and I mostly use it for music. This is our 3rd Echo product and we love them!""",1
Works wonderfully.,1
"""I bought this because it can control fios television. It works well. I?m hoping over time it will do more to control fios. Then I discovered all the other things Alexa can do. Play music you ask for. Great sound from Alexa. Play games. Play radio stations. Play old time radio programs like the Long Ranger. Alexa has many ?apps? you can add to her abilities. The other day I played Madlibs. Great fun. Also Alexa can control household appliances. I just purchased Alexa compatible power strips to control lighting, fans and TV components. I?m looking forward to implementing this controll. You can also add other Alexa components to have chosen music to play in all rooms where the components are located.""",1
This is my second one. I have one in the kitchen and wanted another in my home office.It is amazing for a quick look up while I am working. I live a very busy life and it helps keep me on track with work and personal appointments.I will buy for holiday gifts for my whole family. The gift of organization and information at a voice command away.,1
"""Easy setup. Alexa needs a lot of training,""",1
Invasive and scared the crap out of me for speaking when it was not spoken to! CREAPY AF,0
Love it,1
